Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,VBD_OO,VBD_RD,VBD_WR,LOAD1,LOAD5,Label
1316327150,100,56,511,439,44,72,11,50,0,0,0,0.25,0.27,0
1316327151,100,60,511,439,40,72,13,67,0,0,0,0.25,0.27,0
1316327152,100,41,511,439,59,72,9,32,0,0,0,0.25,0.27,0
1316327153,100,22,511,439,78,72,9,41,0,0,0,0.23,0.26,0
1316327154,100,49,511,439,51,72,17,67,0,0,0,0.23,0.26,0
1316327155,100,29,511,439,71,72,13,63,0,0,0,0.23,0.26,0
1316327156,100,48,511,439,52,72,10,50,0,0,0,0.23,0.26,0
1316327157,100,33,511,439,67,72,13,53,0,0,0,0.23,0.26,0
1316327158,100,38,511,439,62,72,16,72,0,0,0,0.21,0.26,0
1316327159,100,17,511,439,83,72,10,52,0,0,0,0.21,0.26,0
1316327160,100,23,511,439,77,72,8,29,0,0,0,0.21,0.26,0
1316327161,100,21,511,439,79,72,8,34,0,0,0,0.21,0.26,0
1316327162,100,39,511,439,61,72,14,68,0,0,0,0.21,0.26,0
1316327163,100,33,511,439,67,72,8,42,0,0,0,0.20,0.25,0
1316327164,100,47,511,439,53,72,13,61,0,0,0,0.20,0.25,0
1316327165,100,52,511,439,48,72,16,42,0,0,0,0.20,0.25,0
1316327166,100,8,511,439,92,72,13,43,0,0,0,0.20,0.25,0
1316327167,100,51,511,440,49,71,19,80,0,0,0,0.20,0.25,0
1316327168,100,38,511,440,62,71,13,51,0,0,0,0.18,0.25,0
1316327169,100,47,511,440,53,71,15,65,0,0,0,0.18,0.25,0
1316327170,100,22,511,440,78,71,11,57,0,0,0,0.18,0.25,0
1316327171,100,36,511,440,64,71,14,72,0,0,0,0.18,0.25,0
1316327172,100,15,511,440,85,71,15,56,0,0,0,0.18,0.25,0
1316327173,100,43,511,440,57,71,10,44,0,0,0,0.17,0.24,0
1316327174,100,18,511,440,82,71,12,69,0,0,0,0.17,0.24,0
1316327175,100,17,511,440,83,71,9,52,0,0,0,0.17,0.24,0
1316327176,100,34,511,440,66,71,12,50,0,0,0,0.17,0.24,0
1316327177,100,18,511,440,82,71,12,60,0,0,0,0.17,0.24,0
1316327178,100,18,511,440,82,71,12,57,0,0,0,0.15,0.24,0
1316327179,100,37,511,440,63,71,9,36,0,0,0,0.15,0.24,0
1316327180,100,38,511,440,62,71,12,55,0,0,0,0.15,0.24,0
1316327181,100,73,511,440,27,71,16,56,0,0,0,0.15,0.24,0
1316327182,100,32,511,440,68,71,12,37,0,0,0,0.15,0.24,0
1316327183,100,18,511,440,82,71,8,46,0,0,0,0.46,0.30,0
1316327184,100,30,511,440,70,71,12,60,0,0,0,0.46,0.30,0
1316327185,100,35,511,440,65,71,11,53,0,0,0,0.46,0.30,0
1316327186,100,38,511,440,62,71,10,55,0,0,0,0.46,0.30,0
1316327187,100,50,511,440,50,71,10,51,0,0,0,0.46,0.30,0
1316327188,100,31,511,440,69,71,12,59,0,0,0,0.46,0.30,0
1316327189,100,28,511,440,72,71,9,48,0,0,0,0.42,0.30,0
1316327190,100,32,511,440,68,71,9,46,0,0,0,0.42,0.30,0
1316327191,100,33,511,440,67,71,14,88,0,0,0,0.42,0.30,0
1316327192,100,31,511,440,69,71,13,77,0,0,0,0.42,0.30,0
1316327193,100,47,511,440,53,71,12,55,0,0,0,0.42,0.30,0
1316327194,100,26,511,440,74,71,11,55,0,0,0,0.95,0.41,0
1316327195,100,48,511,440,52,71,11,47,0,0,0,0.95,0.41,0
1316327196,100,36,511,440,64,71,13,80,0,0,0,0.95,0.41,0
1316327197,100,19,511,440,81,71,11,45,0,0,0,0.95,0.41,0
1316327198,100,24,511,440,76,71,7,29,0,0,0,0.95,0.41,0
1316327199,100,26,511,440,74,71,13,74,0,0,0,0.87,0.40,0
1316327200,100,28,511,440,72,71,12,62,0,0,0,0.87,0.40,0
1316327201,100,26,511,440,74,71,10,52,0,0,0,0.87,0.40,0
1316327202,100,30,511,440,70,71,16,67,0,0,0,0.87,0.40,0
1316327203,100,12,511,440,88,71,11,36,0,0,0,0.87,0.40,0
1316327204,100,26,511,440,74,71,8,47,0,0,0,0.80,0.39,0
1316327205,100,29,511,440,71,71,11,63,0,0,0,0.80,0.39,0
1316327206,100,17,511,440,83,71,13,81,0,0,0,0.80,0.39,0
1316327207,100,31,511,440,69,71,15,78,0,0,0,0.80,0.39,0
1316327208,100,18,511,440,82,71,12,54,0,0,0,0.80,0.39,0
1316327209,100,42,511,440,58,71,15,75,0,0,0,0.74,0.39,0
1316327210,100,30,511,440,70,71,16,86,0,0,0,0.74,0.39,0
1316327211,100,21,511,440,79,71,9,36,0,0,0,0.74,0.39,0
1316327212,100,25,511,440,75,71,11,46,0,0,0,0.74,0.39,0
1316327213,100,67,511,440,33,71,16,71,0,0,0,0.74,0.39,0
1316327214,100,68,511,440,32,71,16,71,0,0,0,0.84,0.41,0
1316327215,100,56,511,440,44,71,12,54,0,0,0,0.84,0.41,0
1316327216,100,17,511,440,83,71,10,54,0,0,0,0.84,0.41,0
