Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,Label,Score
1,0.83,642,3207.0,1281.0,10783.0,12749847.0,0.83,642,0,0.0
2,1.17,688,3122.0,1295.0,10606.0,12623530.0,1.17,688,0,0.0
3,0.72,640,3111.0,1275.0,10378.0,12328884.0,0.72,640,0,0.0
4,0.62,631,3075.0,1274.0,10302.0,12258914.0,0.62,631,0,0.0
5,0.75,672,3094.0,1278.0,10146.0,12138344.0,0.75,672,0,0.0
6,0.95,719,3037.0,1269.0,9974.0,11956274.0,0.95,719,0,0.0
7,0.94,685,2979.0,1269.0,9886.0,11716272.0,0.94,685,0,0.0
8,0.73,650,2954.0,1269.0,9696.0,11592682.0,0.73,650,0,0.0
9,0.69,658,2971.0,1246.0,9681.0,11528610.0,0.69,658,0,0.0
10,0.76,676,2968.0,1263.0,9585.0,11561753.0,0.76,676,0,0.0
11,0.75,654,2970.0,1256.0,9534.0,11560482.0,0.75,654,0,0.0
12,1.16,660,2929.0,1238.0,9429.0,11546624.0,1.16,660,0,0.0
13,0.88,658,2902.0,1236.0,9470.0,11415885.0,0.88,658,0,0.0
14,0.78,608,2854.0,1256.0,9303.0,11267721.0,0.78,608,0,0.0
15,0.95,609,2863.0,1248.0,9189.0,11165980.0,0.95,609,0,0.0
16,0.87,646,2796.0,1247.0,9077.0,11077680.0,0.87,646,0,0.0
17,0.79,628,2737.0,1235.0,9000.0,10895441.0,0.79,628,0,0.0
18,0.81,628,2756.0,1238.0,8919.0,10761383.0,0.81,628,0,0.0
19,0.83,668,2692.0,1228.0,8896.0,10742732.0,0.83,668,0,0.0
20,0.72,620,2684.0,1265.0,8733.0,10648470.0,0.72,620,0,0.0
21,0.84,622,2658.0,1246.0,8640.0,10554000.0,0.84,622,0,0.0
22,0.75,649,2605.0,1247.0,8475.0,10377951.0,0.75,649,0,0.0
23,0.94,627,2605.0,1247.0,8347.0,10202901.0,0.94,627,0,0.0
24,1.11,620,2573.0,1228.0,8257.0,10097184.0,1.11,620,0,0.0
25,0.92,720,2522.0,1248.0,8127.0,9996294.0,0.92,720,0,0.0
26,0.95,631,2482.0,1227.0,8053.0,9877766.0,0.95,631,0,0.0
27,0.78,648,2500.0,1239.0,7977.0,9749463.0,0.78,648,0,0.0
28,0.71,611,2471.0,1217.0,7859.0,9668615.0,0.71,611,0,0.0
29,0.89,644,2475.0,1230.0,7811.0,9560042.0,0.89,644,0,0.0
30,0.84,618,2440.0,1209.0,7662.0,9465867.0,0.84,618,0,0.0
31,0.78,624,2382.0,1232.0,7587.0,9320686.0,0.78,624,0,0.0
32,0.87,636,2406.0,1220.0,7510.0,9268965.0,0.87,636,0,0.0
33,1.01,621,2371.0,1232.0,7451.0,9189975.0,1.01,621,0,0.0
34,0.59,651,2368.0,1219.0,7358.0,9091551.0,0.59,651,0,0.0
35,0.7,610,2303.0,1241.0,7273.0,9031433.0,0.7,610,0,0.0
36,0.87,646,2308.0,1220.0,7208.0,8962214.0,0.87,646,0,0.0
37,0.98,646,2280.0,1211.0,7119.0,8857106.0,0.98,646,0,0.0
38,0.77,649,2245.0,1209.0,7028.0,8714915.0,0.77,649,0,0.0
39,0.85,666,2255.0,1215.0,6958.0,8676642.0,0.85,666,0,0.0
40,0.84,672,2203.0,1212.0,6916.0,8631124.0,0.84,672,0,0.0
41,0.65,632,2207.0,1232.0,6826.0,8522420.0,0.65,632,0,0.0
42,1.2,657,2170.0,1219.0,6778.0,8443162.0,1.2,657,0,0.0
43,0.73,656,2121.0,1222.0,6656.0,8360540.0,0.73,656,0,0.0
44,0.85,640,2089.0,1207.0,6566.0,8210910.0,0.85,640,0,0.0
45,0.72,659,2090.0,1185.0,6496.0,8073215.0,0.72,659,0,0.0
46,1.31,645,2063.0,1193.0,6363.0,7996103.0,1.31,645,0,0.0
47,0.91,674,2048.0,1182.0,6356.0,7920055.0,0.91,674,0,0.0
48,0.69,582,1997.0,1199.0,6215.0,7852170.0,0.69,582,0,0.0
49,0.76,605,2011.0,1226.0,6152.0,7780997.0,0.76,605,0,0.0
50,0.71,640,1968.0,1217.0,6065.0,7701303.0,0.71,640,0,0.0
51,0.92,663,1932.0,1175.0,6001.0,7559560.0,0.92,663,0,0.0
52,0.92,659,1883.0,1163.0,5916.0,7481698.0,0.92,659,0,0.0
53,0.6,596,1879.0,1185.0,5876.0,7402609.0,0.6,596,0,0.0
54,0.67,621,1846.0,1191.0,5750.0,7311083.0,0.67,621,0,0.0
55,0.8,620,1851.0,1189.0,5654.0,7186961.0,0.8,620,0,0.0
56,0.76,661,1791.0,1215.0,5605.0,8188562.0,0.76,661,0,0.0
57,0.71,625,1776.0,1235.0,5559.0,7063910.0,0.71,625,0,0.570029407733
58,0.68,613,1766.0,1230.0,5526.0,6929598.0,0.68,613,0,0.0
59,0.72,636,1782.0,1189.0,5434.0,6903425.0,0.72,636,0,0.0
60,0.74,643,1755.0,1242.0,5369.0,6838587.0,0.74,643,0,0.0
61,0.79,639,1747.0,1176.0,5308.0,6756935.0,0.79,639,0,0.0
62,0.73,536,1694.0,1217.0,5251.0,6702119.0,0.73,536,0,0.0
63,0.78,598,1721.0,1186.0,5218.0,6572848.0,0.78,598,0,0.0
64,1.06,617,1688.0,1215.0,5116.0,6511134.0,1.06,617,0,0.0
65,0.71,572,1654.0,1179.0,5092.0,6399268.0,0.71,572,0,0.0
66,0.71,622,1646.0,1185.0,5047.0,6455025.0,0.71,622,0,0.0
67,0.75,573,1632.0,1185.0,5004.0,6385534.0,0.75,573,0,0.0
68,0.72,676,1616.0,1183.0,4954.0,6333186.0,0.72,676,0,0.0
69,0.92,665,1608.0,1200.0,4912.0,6289009.0,0.92,665,0,0.0
70,0.81,616,1582.0,1179.0,4871.0,6170591.0,0.81,616,0,0.0
71,1.25,627,1575.0,1185.0,4795.0,6057373.0,1.25,627,0,0.0
72,0.76,572,1582.0,1191.0,4702.0,6027140.0,0.76,572,0,0.0
73,0.58,597,1578.0,1192.0,4647.0,5985660.0,0.58,597,0,0.0
74,0.53,609,1548.0,1198.0,4606.0,5960688.0,0.53,609,0,0.0
75,1.22,586,1545.0,1176.0,4521.0,5872885.0,1.22,586,0,0.0
76,0.8,635,1520.0,1169.0,4494.0,5777522.0,0.8,635,0,0.0
77,0.79,579,1492.0,1185.0,4410.0,5727676.0,0.79,579,0,0.0
78,0.84,588,1486.0,1186.0,4355.0,5640950.0,0.84,588,0,0.0
79,0.57,603,1472.0,1178.0,4346.0,5595529.0,0.57,603,0,0.0
80,1.18,660,1450.0,1159.0,4341.0,5582415.0,1.18,660,0,0.533038491904
81,0.82,652,1452.0,1165.0,4275.0,5523065.0,0.82,652,0,0.0
82,0.47,617,1422.0,1221.0,4197.0,5381275.0,0.47,617,0,0.0
83,1.09,592,1426.0,1187.0,4142.0,5343445.0,1.09,592,0,0.0
84,0.83,616,1421.0,1233.0,4071.0,5314067.0,0.83,616,0,0.0
85,0.87,577,1383.0,1198.0,4031.0,5254362.0,0.87,577,0,0.677260615638
86,0.79,541,1362.0,1168.0,3993.0,5166554.0,0.79,541,0,0.0
87,0.71,621,1363.0,1175.0,3956.0,5080792.0,0.71,621,0,0.0
88,0.74,609,1323.0,1198.0,3883.0,5008683.0,0.74,609,0,0.0
89,0.62,582,1330.0,1178.0,3820.0,4919435.0,0.62,582,0,0.0
90,0.72,551,1310.0,1221.0,3782.0,4852848.0,0.72,551,0,0.0
91,0.74,610,1319.0,1191.0,3783.0,4853800.0,0.74,610,0,0.0
92,0.85,631,1284.0,1162.0,3710.0,4826917.0,0.85,631,0,0.0
93,0.59,572,1271.0,1201.0,3672.0,4806141.0,0.59,572,0,0.0
94,0.82,639,1263.0,1161.0,3583.0,4732030.0,0.82,639,0,0.0
95,0.71,588,1233.0,1170.0,3575.0,4698622.0,0.71,588,0,0.0
96,0.62,548,1218.0,1192.0,3534.0,4641657.0,0.62,548,0,0.0
97,1.11,579,1212.0,1193.0,3545.0,4594068.0,1.11,579,0,0.0
98,0.79,569,1221.0,1155.0,3505.0,4543736.0,0.79,569,0,0.0
99,0.62,612,1195.0,1163.0,3469.0,4500897.0,0.62,612,0,0.0
100,1.19,570,1184.0,1161.0,3426.0,4489668.0,1.19,570,0,0.0
101,0.96,573,1166.0,1160.0,3385.0,4430806.0,0.96,573,0,0.0
102,0.83,603,1162.0,1148.0,3349.0,4372865.0,0.83,603,0,0.0
103,0.75,681,1154.0,1133.0,3329.0,4324367.0,0.75,681,0,0.0
104,0.58,589,1117.0,1161.0,3280.0,4261504.0,0.58,589,0,0.0
105,0.78,611,1115.0,1157.0,3245.0,4288081.0,0.78,611,0,0.0
106,0.66,576,1117.0,1146.0,3177.0,4221110.0,0.66,576,0,0.0
107,0.83,568,1095.0,1154.0,3136.0,4128151.0,0.83,568,0,0.0
108,0.6,633,1119.0,1191.0,3088.0,4093418.0,0.6,633,0,0.0
109,0.69,618,1086.0,1147.0,3053.0,4070722.0,0.69,618,0,0.0
110,0.69,550,1066.0,1156.0,3015.0,4021519.0,0.69,550,0,0.0
111,0.68,594,1054.0,1142.0,2997.0,3958544.0,0.68,594,0,0.0
112,0.76,654,1067.0,1142.0,2981.0,3883884.0,0.76,654,0,0.0
113,0.64,562,1041.0,1183.0,2947.0,3864979.0,0.64,562,0,0.0
114,0.69,590,1029.0,1200.0,2904.0,3821481.0,0.69,590,0,0.0
115,0.49,565,1029.0,1144.0,2910.0,3801435.0,0.49,565,0,0.0
116,0.65,603,1018.0,1112.0,2844.0,3770114.0,0.65,603,0,0.663141371555
117,0.88,595,1018.0,1137.0,2835.0,3732657.0,0.88,595,0,0.699894068723
118,1.07,529,989.0,1160.0,2812.0,3707031.0,1.07,529,1,0.0
119,0.83,622,1007.0,1144.0,2785.0,3659773.0,0.83,622,1,0.684304189742
120,0.67,609,981.0,1175.0,2768.0,3658012.0,0.67,609,1,0.655220747014
121,1.07,608,978.0,1180.0,2720.0,3581172.0,1.07,608,1,0.0
122,0.63,603,975.0,1149.0,2685.0,3562656.0,0.63,603,1,0.0
123,0.51,621,958.0,1128.0,2648.0,3497225.0,0.51,621,1,0.602532562662
124,0.77,595,942.0,1185.0,2646.0,3495540.0,0.77,595,1,0.860706426063
125,0.57,611,943.0,1167.0,2595.0,3482711.0,0.57,611,1,0.552939250724
126,0.84,637,935.0,1109.0,2563.0,3459666.0,0.84,637,1,0.892203042233
127,0.66,595,921.0,1158.0,2529.0,3382386.0,0.66,595,1,0.769848304189
128,0.75,632,901.0,1146.0,2520.0,3318376.0,0.75,632,1,0.611519864601
129,0.79,593,892.0,1137.0,2505.0,3316941.0,0.79,593,1,0.628754068929
130,0.99,548,896.0,1134.0,2492.0,3310901.0,0.99,548,1,0.0
131,0.65,599,889.0,1149.0,2472.0,3297014.0,0.65,599,2,0.542387011988
132,0.61,572,880.0,1122.0,2458.0,3262075.0,0.61,572,0,0.0
133,1.03,586,883.0,1165.0,2436.0,3273539.0,1.03,586,0,0.0
134,0.67,567,892.0,1155.0,2426.0,3271942.0,0.67,567,0,0.0
135,0.73,533,907.0,1122.0,2411.0,3242915.0,0.73,533,0,0.0
136,0.58,593,887.0,1119.0,2366.0,3243230.0,0.58,593,0,0.0
137,0.65,548,865.0,1080.0,2320.0,3180901.0,0.65,548,0,0.539932633538
138,0.77,561,834.0,1104.0,2330.0,3147068.0,0.77,561,0,0.758414684301
139,0.87,565,836.0,1157.0,2315.0,3086265.0,0.87,565,0,0.722431880716
140,0.96,585,830.0,1147.0,2283.0,3065966.0,0.96,585,0,0.652817989706
141,0.74,601,848.0,1160.0,2246.0,3037222.0,0.74,601,0,0.0
142,0.64,581,823.0,1134.0,2254.0,3039539.0,0.64,581,0,0.0
143,1.32,585,821.0,1122.0,2233.0,3025960.0,1.32,585,0,0.0
144,1.05,591,817.0,1165.0,2201.0,3000222.0,1.05,591,0,0.0
145,0.64,629,797.0,1099.0,2187.0,2945405.0,0.64,629,0,0.74216334951
146,0.67,577,786.0,1095.0,2170.0,2939533.0,0.67,577,0,0.811186811637
147,0.64,557,791.0,1115.0,2148.0,2873146.0,0.64,557,0,0.0
148,1.41,603,783.0,1116.0,2129.0,2839081.0,1.41,603,0,0.0
149,0.67,618,761.0,1121.0,2114.0,2807670.0,0.67,618,0,0.0
150,0.76,571,761.0,1184.0,2111.0,2754500.0,0.76,571,0,0.0
151,0.63,666,767.0,1168.0,2091.0,2786812.0,0.63,666,0,0.0
152,0.9,562,756.0,1212.0,2080.0,2770655.0,0.9,562,0,0.0
153,1.09,610,748.0,1109.0,2068.0,2741329.0,1.09,610,0,0.0
154,0.65,550,751.0,1130.0,2047.0,2754633.0,0.65,550,0,0.0
155,0.96,597,736.0,1145.0,2016.0,2703179.0,0.96,597,0,0.0
156,0.74,624,744.0,1153.0,1983.0,2660783.0,0.74,624,0,0.0
157,0.97,543,735.0,1157.0,1981.0,2632331.0,0.97,543,0,0.0
158,1.23,593,725.0,1184.0,1969.0,2624570.0,1.23,593,0,0.523439606836
159,0.55,592,719.0,1092.0,1956.0,2587645.0,0.55,592,0,0.0
160,0.58,618,713.0,1119.0,1943.0,2607015.0,0.58,618,0,0.0
161,1.08,566,714.0,1141.0,1931.0,2606700.0,1.08,566,0,0.0
162,0.92,576,697.0,1139.0,1921.0,2581090.0,0.92,576,0,0.0
163,0.84,590,699.0,1121.0,1925.0,2537247.0,0.84,590,0,0.0
164,0.73,600,686.0,1114.0,1871.0,2507707.0,0.73,600,0,0.0
165,0.59,539,698.0,1110.0,1848.0,2494372.0,0.59,539,0,0.0
166,0.93,574,683.0,1149.0,1850.0,2454384.0,0.93,574,0,0.0
167,0.92,607,693.0,1090.0,1840.0,2430786.0,0.92,607,0,0.0
168,0.73,625,686.0,1080.0,1817.0,2429859.0,0.73,625,0,0.0
169,0.72,617,662.0,1183.0,1796.0,2403849.0,0.72,617,0,0.0
170,0.62,589,672.0,1126.0,1810.0,2421827.0,0.62,589,0,0.0
171,0.76,536,673.0,1154.0,1785.0,2428599.0,0.76,536,0,0.0
172,0.93,561,646.0,1113.0,1764.0,2410712.0,0.93,561,0,0.582026185338
173,0.57,604,657.0,1175.0,1765.0,2398523.0,0.57,604,0,0.0
174,0.69,595,655.0,1166.0,1734.0,2346716.0,0.69,595,0,0.0
175,0.64,615,642.0,1163.0,1732.0,2288533.0,0.64,615,0,0.0
176,1.02,556,627.0,1116.0,1709.0,2280505.0,1.02,556,0,0.0
177,0.57,520,632.0,1142.0,1710.0,2222382.0,0.57,520,0,0.0
178,0.53,552,624.0,1119.0,1685.0,2222521.0,0.53,552,0,0.0
179,0.62,572,617.0,1144.0,1666.0,2215318.0,0.62,572,0,0.0
180,0.62,589,611.0,1134.0,1662.0,2192192.0,0.62,589,0,0.0
181,0.61,572,613.0,1083.0,1636.0,2176702.0,0.61,572,0,0.0
182,1.09,575,599.0,1111.0,1640.0,2164707.0,1.09,575,0,0.0
183,0.84,561,596.0,1096.0,1628.0,2129758.0,0.84,561,0,0.0
184,0.65,608,589.0,1134.0,1610.0,2146072.0,0.65,608,0,0.0
185,0.47,639,603.0,1150.0,1600.0,2183643.0,0.47,639,0,0.0
186,0.42,538,594.0,1161.0,1594.0,2178274.0,0.42,538,0,0.0
187,1.22,673,588.0,1152.0,1581.0,2121497.0,1.22,673,0,0.0
188,0.78,642,590.0,1127.0,1568.0,2092788.0,0.78,642,0,0.0
189,0.51,573,573.0,1105.0,1562.0,2063900.0,0.51,573,0,0.0
190,0.72,583,566.0,1108.0,1565.0,2069803.0,0.72,583,0,0.0
191,0.43,593,554.0,1151.0,1553.0,2072053.0,0.43,593,0,0.0
