Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,Label
1,0.830,642,3207.0,1281.0,10783.0,12749847.0,0.830,642,0
2,1.170,688,3122.0,1295.0,10606.0,12623530.0,1.170,688,0
3,0.720,640,3111.0,1275.0,10378.0,12328884.0,0.720,640,0
4,0.620,631,3075.0,1274.0,10302.0,12258914.0,0.620,631,0
5,0.750,672,3094.0,1278.0,10146.0,12138344.0,0.750,672,0
6,0.950,719,3037.0,1269.0,9974.0,11956274.0,0.950,719,0
7,0.9399999999999999,685,2979.0,1269.0,9886.0,11716272.0,0.9399999999999999,685,0
8,0.730,650,2954.0,1269.0,9696.0,11592682.0,0.730,650,0
9,0.6899999999999999,658,2971.0,1246.0,9681.0,11528610.0,0.6899999999999999,658,0
10,0.760,676,2968.0,1263.0,9585.0,11561753.0,0.760,676,0
11,0.750,654,2970.0,1256.0,9534.0,11560482.0,0.750,654,0
12,1.160,660,2929.0,1238.0,9429.0,11546624.0,1.160,660,0
13,0.880,658,2902.0,1236.0,9470.0,11415885.0,0.880,658,0
14,0.780,608,2854.0,1256.0,9303.0,11267721.0,0.780,608,0
15,0.950,609,2863.0,1248.0,9189.0,11165980.0,0.950,609,0
16,0.870,646,2796.0,1247.0,9077.0,11077680.0,0.870,646,0
17,0.790,628,2737.0,1235.0,9000.0,10895441.0,0.790,628,0
18,0.8100000000000001,628,2756.0,1238.0,8919.0,10761383.0,0.8100000000000001,628,0
19,0.830,668,2692.0,1228.0,8896.0,10742732.0,0.830,668,0
20,0.720,620,2684.0,1265.0,8733.0,10648470.0,0.720,620,0
21,0.840,622,2658.0,1246.0,8640.0,10554000.0,0.840,622,0
22,0.750,649,2605.0,1247.0,8475.0,10377951.0,0.750,649,0
23,0.9399999999999999,627,2605.0,1247.0,8347.0,10202901.0,0.9399999999999999,627,0
24,1.110,620,2573.0,1228.0,8257.0,10097184.0,1.110,620,0
25,0.920,720,2522.0,1248.0,8127.0,9996294.0,0.920,720,0
26,0.950,631,2482.0,1227.0,8053.0,9877766.0,0.950,631,0
27,0.780,648,2500.0,1239.0,7977.0,9749463.0,0.780,648,0
28,0.710,611,2471.0,1217.0,7859.0,9668615.0,0.710,611,0
29,0.890,644,2475.0,1230.0,7811.0,9560042.0,0.890,644,0
30,0.840,618,2440.0,1209.0,7662.0,9465867.0,0.840,618,0
31,0.780,624,2382.0,1232.0,7587.0,9320686.0,0.780,624,0
32,0.870,636,2406.0,1220.0,7510.0,9268965.0,0.870,636,0
