Time,Info1,Info2,Info3,Fail_Rate,Delay,Out_Flow,Traffic,Request,Label
1,3207.0,1281.0,10783.0,12749847.0,10110.0,0.830,642,12418.0,0
2,3122.0,1295.0,10606.0,12623530.0,9960.0,1.170,688,12178.0,0
3,3111.0,1275.0,10378.0,12328884.0,9862.0,0.720,640,12009.0,0
4,3075.0,1274.0,10302.0,12258914.0,9690.0,0.620,631,11929.0,0
5,3094.0,1278.0,10146.0,12138344.0,9669.0,0.750,672,11850.0,0
6,3037.0,1269.0,9974.0,11956274.0,9550.0,0.950,719,11668.0,0
7,2979.0,1269.0,9886.0,11716272.0,9432.0,0.9399999999999999,685,11467.0,0
8,2954.0,1269.0,9696.0,11592682.0,9366.0,0.730,650,11429.0,0
9,2971.0,1246.0,9681.0,11528610.0,9442.0,0.6899999999999999,658,11443.0,0
10,2968.0,1263.0,9585.0,11561753.0,9339.0,0.760,676,11432.0,0
11,2970.0,1256.0,9534.0,11560482.0,9338.0,0.750,654,11434.0,0
12,2929.0,1238.0,9429.0,11546624.0,9272.0,1.160,660,11313.0,0
13,2902.0,1236.0,9470.0,11415885.0,9188.0,0.880,658,11249.0,0
14,2854.0,1256.0,9303.0,11267721.0,9024.0,0.780,608,11175.0,0
15,2863.0,1248.0,9189.0,11165980.0,8955.0,0.950,609,11061.0,0
16,2796.0,1247.0,9077.0,11077680.0,8782.0,0.870,646,10918.0,0
17,2737.0,1235.0,9000.0,10895441.0,8644.0,0.790,628,10785.0,0
18,2756.0,1238.0,8919.0,10761383.0,8600.0,0.8100000000000001,628,10720.0,0
19,2692.0,1228.0,8896.0,10742732.0,8459.0,0.830,668,10585.0,0
20,2684.0,1265.0,8733.0,10648470.0,8427.0,0.720,620,10513.0,0
21,2658.0,1246.0,8640.0,10554000.0,8320.0,0.840,622,10384.0,0
22,2605.0,1247.0,8475.0,10377951.0,8179.0,0.750,649,10201.0,0
23,2605.0,1247.0,8347.0,10202901.0,8155.0,0.9399999999999999,627,10146.0,0
24,2573.0,1228.0,8257.0,10097184.0,8053.0,1.110,620,10022.0,0
25,2522.0,1248.0,8127.0,9996294.0,7946.0,0.920,720,9913.0,0
26,2482.0,1227.0,8053.0,9877766.0,7872.0,0.950,631,9840.0,0
27,2500.0,1239.0,7977.0,9749463.0,7828.0,0.780,648,9721.0,0
28,2471.0,1217.0,7859.0,9668615.0,7749.0,0.710,611,9646.0,0
29,2475.0,1230.0,7811.0,9560042.0,7671.0,0.890,644,9591.0,0
30,2440.0,1209.0,7662.0,9465867.0,7658.0,0.840,618,9486.0,0
31,2382.0,1232.0,7587.0,9320686.0,7563.0,0.780,624,9379.0,0
32,2406.0,1220.0,7510.0,9268965.0,7524.0,0.870,636,9321.0,0
33,2371.0,1232.0,7451.0,9189975.0,7459.0,1.010,621,9169.0,0
34,2368.0,1219.0,7358.0,9091551.0,7425.0,0.590,651,9134.0,0
35,2303.0,1241.0,7273.0,9031433.0,7210.0,0.70,610,9032.0,0
36,2308.0,1220.0,7208.0,8962214.0,7189.0,0.870,646,8972.0,0
37,2280.0,1211.0,7119.0,8857106.0,7109.0,0.980,646,8865.0,0
38,2245.0,1209.0,7028.0,8714915.0,7033.0,0.770,649,8762.0,0
39,2255.0,1215.0,6958.0,8676642.0,6927.0,0.850,666,8725.0,0
40,2203.0,1212.0,6916.0,8631124.0,6851.0,0.840,672,8605.0,0
41,2207.0,1232.0,6826.0,8522420.0,6803.0,0.650,632,8541.0,0
42,2170.0,1219.0,6778.0,8443162.0,6680.0,1.20,657,8440.0,0
43,2121.0,1222.0,6656.0,8360540.0,6620.0,0.730,656,8361.0,0
44,2089.0,1207.0,6566.0,8210910.0,6550.0,0.850,640,8224.0,0
45,2090.0,1185.0,6496.0,8073215.0,6478.0,0.720,659,8141.0,0
46,2063.0,1193.0,6363.0,7996103.0,6418.0,1.310,645,8013.0,0
47,2048.0,1182.0,6356.0,7920055.0,6391.0,0.910,674,7978.0,0
48,1997.0,1199.0,6215.0,7852170.0,6273.0,0.6899999999999999,582,7819.0,0
49,2011.0,1226.0,6152.0,7780997.0,6257.0,0.760,605,7845.0,0
50,1968.0,1217.0,6065.0,7701303.0,6172.0,0.710,640,7693.0,0
51,1932.0,1175.0,6001.0,7559560.0,6086.0,0.920,663,7626.0,0
52,1883.0,1163.0,5916.0,7481698.0,5997.0,0.920,659,7482.0,0
53,1879.0,1185.0,5876.0,7402609.0,5944.0,0.60,596,7442.0,0
54,1846.0,1191.0,5750.0,7311083.0,5875.0,0.670,621,7325.0,0
55,1851.0,1189.0,5654.0,7186961.0,5796.0,0.80,620,7258.0,0
56,1791.0,1215.0,5605.0,8188562.0,5752.0,0.760,661,7217.0,0
57,1776.0,1235.0,5559.0,7063910.0,5632.0,0.710,625,7075.0,0
58,1766.0,1230.0,5526.0,6929598.0,5568.0,0.680,613,7006.0,0
59,1782.0,1189.0,5434.0,6903425.0,5552.0,0.720,636,6936.0,0
60,1755.0,1242.0,5369.0,6838587.0,5473.0,0.740,643,6867.0,0
61,1747.0,1176.0,5308.0,6756935.0,5413.0,0.790,639,6805.0,0
62,1694.0,1217.0,5251.0,6702119.0,5363.0,0.730,536,6683.0,0
63,1721.0,1186.0,5218.0,6572848.0,5357.0,0.780,598,6650.0,0
64,1688.0,1215.0,5116.0,6511134.0,5274.0,1.060,617,6634.0,0
65,1654.0,1179.0,5092.0,6399268.0,5184.0,0.710,572,6518.0,0
66,1646.0,1185.0,5047.0,6455025.0,5105.0,0.710,622,6441.0,0
67,1632.0,1185.0,5004.0,6385534.0,5040.0,0.750,573,6385.0,0
68,1616.0,1183.0,4954.0,6333186.0,4974.0,0.720,676,6345.0,0
69,1608.0,1200.0,4912.0,6289009.0,4954.0,0.920,665,6273.0,0
70,1582.0,1179.0,4871.0,6170591.0,4889.0,0.8100000000000001,616,6204.0,0
71,1575.0,1185.0,4795.0,6057373.0,4847.0,1.250,627,6099.0,0
72,1582.0,1191.0,4702.0,6027140.0,4825.0,0.760,572,6087.0,0
73,1578.0,1192.0,4647.0,5985660.0,4816.0,0.580,597,6058.0,0
74,1548.0,1198.0,4606.0,5960688.0,4727.0,0.530,609,5970.0,0
75,1545.0,1176.0,4521.0,5872885.0,4678.0,1.220,586,5920.0,0
76,1520.0,1169.0,4494.0,5777522.0,4593.0,0.80,635,5855.0,0
77,1492.0,1185.0,4410.0,5727676.0,4569.0,0.790,579,5715.0,0
78,1486.0,1186.0,4355.0,5640950.0,4525.0,0.840,588,5686.0,0
79,1472.0,1178.0,4346.0,5595529.0,4471.0,0.570,603,5628.0,0
80,1450.0,1159.0,4341.0,5582415.0,4469.0,1.180,660,5567.0,0
81,1452.0,1165.0,4275.0,5523065.0,4426.0,0.820,652,5489.0,0
82,1422.0,1221.0,4197.0,5381275.0,4355.0,0.470,617,5419.0,0
83,1426.0,1187.0,4142.0,5343445.0,4297.0,1.090,592,5375.0,0
84,1421.0,1233.0,4071.0,5314067.0,4268.0,0.830,616,5362.0,0
85,1383.0,1198.0,4031.0,5254362.0,4216.0,0.870,577,5259.0,0
86,1362.0,1168.0,3993.0,5166554.0,4169.0,0.790,541,5178.0,0
87,1363.0,1175.0,3956.0,5080792.0,4117.0,0.710,621,5115.0,0
88,1323.0,1198.0,3883.0,5008683.0,4018.0,0.740,609,5038.0,0
89,1330.0,1178.0,3820.0,4919435.0,4001.0,0.620,582,5010.0,0
90,1310.0,1221.0,3782.0,4852848.0,3999.0,0.720,551,4947.0,0
91,1319.0,1191.0,3783.0,4853800.0,3980.0,0.740,610,4942.0,0
